Link Product Page,title,ID,Stars out of 5,Reviewer Count
https://www.amazon.ae/Youbella-WomenS-Plated-Earrings-Jewellery/dp/B08KLNWGJL/ref=sr_1_58?qid=1686556435&s=fashion&sr=1-58,Youbella Girls/Women'S Gold Plated Combo Of 24 Stud Tops Earrings Jewellery (Golden),70,4.1,"1,722"
https://www.amazon.ae/Friendship-Necklaces-Best-Friends-Forever/dp/B09WRLDBVY/ref=sr_1_59?qid=1686556435&s=fashion&sr=1-59,Friendship Necklaces Best Friends Forever: 3 Pcs BFF Necklaces Artificial Donut Shaped Pendant Necklace for Girls Students,71,5,2
https://www.amazon.ae/YAZILIND-Colorful-Festival-Necklace-Gemstone/dp/B07W6YTSVH/ref=sr_1_60?qid=1686556435&s=fashion&sr=1-60,"YAZILIND Ethnic Style Chunky Colorful Collar Festival Tribal Beaded Bib Choker Costume Necklace, No Gemstone",72,4.4,"2,238"
https://www.amazon.ae/Bracelet-Adjustable-Friendship-Boyfriend-Girlfriend/dp/B09WRLBQPB/ref=sr_1_61?qid=1686556435&s=fashion&sr=1-61,"Yin Yang Friend or Couple Bracelet with Necklace Set, 2 Pieces Matching Yin Yang Adjustable Cord Bracelet, 2 Pieces Yin Yang Couple Pendant Necklace Chain for Friendship Boyfriend Girlfriend",73,4.4,7
https://www.amazon.ae/Crown-Bracelet-Black-Matte-Adjustable/dp/B07MWYPMFZ/ref=sr_1_62?qid=1686556435&s=fashion&sr=1-62,Men Crown King Bracelet Black Matte Agate Bracelet Adjustable 8MM Beads,74,3.9,57
https://www.amazon.ae/ORiTi-Surgical-Stainless-Hypoallergenic-Cartilage/dp/B0999RN1TR/ref=sr_1_63?qid=1686556435&s=fashion&sr=1-63,ORiTi Surgical Stainless Steel Small Nose Hoop Earrings 8mm/10mm/12mm Hypoallergenic Earrings Cartilage Helix Lobes Hinged Sleeper Tiny Hoop Earrings Body Piercing Jewelry for Men and Women,75,4,13
https://www.amazon.ae/Best-Friends-Gift-Necklace-Set/dp/B07MG5C6RQ/ref=sr_1_64?qid=1686556435&s=fashion&sr=1-64,Best Friends Gift Necklace Set of 2 - Heart Pendant with Rhinestones,76,3.6,4
https://www.amazon.ae/Charming-Butterfly-Surgical-Earrings-Ycfjer-283Btrf-Rg/dp/B01LWQUG8X/ref=sr_1_65?qid=1686556435&s=fashion&sr=1-65,Yellow Chimes Charming Dual Butterfly Surgical Steel 18K Real Rose Gold Stud Earrings For Girls And Women (Rose Gold) (Ycfjer-283Btrf-Rg),77,4.2,"1,968"
https://www.amazon.ae/Exquisite-Signature-Silicon-Stainless-Bracelet/dp/B07TW5VH28/ref=sr_1_66?qid=1686556435&s=fashion&sr=1-66,Yellow Chimes Unisex Silver Black Kpop BTS Band Exquisite Signature Jung Kook Silicon Chimes Silver Plated Stainless Steel Charm Bracelet,78,4.4,664
https://www.amazon.ae/Friendship-Adjustable-Hand-Woven-Protection-Jewelry-Black/dp/B088K8C1CK/ref=sr_1_67?qid=1686556435&s=fashion&sr=1-67,The Woo's 2Pcs Evil Eye Bracelets Good Luck Pinky Promise Distance Matching Bracelets for Couple Friendship Family Adjustable Hand-Woven Cords Rope Thread Bracelet Protection Jewelry,79,3.7,12
https://www.amazon.ae/Zaveri-Pearls-Jewellery-Golden-Zpfk6989/dp/B07C2389CW/ref=sr_1_68?qid=1686556435&s=fashion&sr=1-68,Zaveri Pearls Jewellery Set For Women (Golden)(Zpfk6989),80,4.1,"1,325"
https://www.amazon.ae/Simple-Pendant-Necklace-Choker-Valentines/dp/B0B81VKKZ6/ref=sr_1_73?qid=1686556435&s=fashion&sr=1-73,"Simple Gold Love Heart Pendant Necklace Choker Chain Valentine's day Necklace for women, girls and teens.",85,4.2,4
https://www.amazon.ae/Necklace-Artificial-Girlfriend-Birthday-Anniversary/dp/B093771JLS/ref=sr_1_74?qid=1686556435&s=fashion&sr=1-74,"2PCS Pearl Necklace Set, Artificial Pearl Necklace, Pearl Choker Necklace Charm Lady Girlfriend Wedding Birthday Anniversary",86,4.4,"3,605"
https://www.amazon.ae/YouBella-Earrings-Jewellery-Kashmiri-YBEAR_32197/dp/B07KNBGYJ2/ref=sr_1_75?qid=1686556435&s=fashion&sr=1-75,YouBella Earrings for Women Jewellery Earrings Afghani Kashmiri Jhumka earrings for Girls and Women (Silver)(YBEAR_32197),87,3.9,"2,508"
https://www.amazon.ae/Yellow-Piercing-Stylish-Stainless-Earrings/dp/B07CTN7RK4/ref=sr_1_76?qid=1686556435&s=fashion&sr=1-76,Yellow Chimes Non- Piercing COMBO of Stylish Stainless Steel Earrings for Men and Women,88,4.1,"1,280"
https://www.amazon.ae/Yellow-Chimes-Trendy-Stainless-Earrings/dp/B07CTNMVP2/ref=sr_1_77?qid=1686556435&s=fashion&sr=1-77,Yellow Chimes Trendy Stainless Steel Hoops Earrings for Men and Women,89,4,"2,094"
https://www.amazon.ae/Elegant-Fashion-Crystal-designer-Earrings/dp/B07T41QT3R/ref=sr_1_78?qid=1686556435&s=fashion&sr=1-78,Yellow Chimes Elegant Latest Fashion Silver Plated Crystal designer Drop Earrings for Women and Girls (Design 6),90,3.9,612
https://www.amazon.ae/DESIMTION-Multilayer-Christmas-Wristbands-Bracelets/dp/B07HHVPPRJ/ref=sr_1_79?qid=1686556435&s=fashion&sr=1-79,"Inspirational Tree of Life Leather Bracelets for Women,Mothers Day Birthday Jewelry Gifts for Teens Girls",91,4.6,"7,824"
https://www.amazon.ae/Shining-Diva-Fashion-Bracelet-9576b/dp/B078KWDF1N/ref=sr_1_80?qid=1686556435&s=fashion&sr=1-80,Shining Diva Fashion Royal Blue Crystal CZ Silver Plated Stylish Bracelet Gift for Girls Women(9576b),92,2.6,3
https://www.amazon.ae/Piercing-Stainless-Steel-Machines-Earrings/dp/B09XK4ZPL7/ref=sr_1_81?qid=1686556435&s=fashion&sr=1-81,"Ear Piercing Kit, Stainless Steel Body Ear Piercing Tool Set Ear Nose Navel Piercing Machines with 55 Pairs Stainless Steel Stud Earrings for Salon Home Use",93,4.5,2
https://www.amazon.ae/Joyalukkas-GOLD-COIN-2022B4G-4GM/dp/B07TWMJ39Q/ref=sr_1_82?qid=1686556435&s=fashion&sr=1-82,GOLD COIN 4GM,94,5,1
