Link Product Page,title,ID,   Current Price   ,Discount Percentage,   Price Before Discount   
https://www.amazon.ae/YouBella-Earrings-Jewellery-Kashmiri-YBEAR_32197/dp/B07KNBGYJ2/ref=sr_1_75?qid=1686556435&s=fashion&sr=1-75,YouBella Earrings for Women Jewellery Earrings Afghani Kashmiri Jhumka earrings for Girls and Women (Silver)(YBEAR_32197),87, AED 43.18 ,-18%, AED 9.84 
https://www.amazon.ae/Yellow-Piercing-Stylish-Stainless-Earrings/dp/B07CTN7RK4/ref=sr_1_76?qid=1686556435&s=fashion&sr=1-76,Yellow Chimes Non- Piercing COMBO of Stylish Stainless Steel Earrings for Men and Women,88, AED 43.18 ,-31%, AED 11.14 
https://www.amazon.ae/Yellow-Chimes-Trendy-Stainless-Earrings/dp/B07CTNMVP2/ref=sr_1_77?qid=1686556435&s=fashion&sr=1-77,Yellow Chimes Trendy Stainless Steel Hoops Earrings for Men and Women,89, AED 43.18 ,-53%, AED 9.38 
https://www.amazon.ae/Elegant-Fashion-Crystal-designer-Earrings/dp/B07T41QT3R/ref=sr_1_78?qid=1686556435&s=fashion&sr=1-78,Yellow Chimes Elegant Latest Fashion Silver Plated Crystal designer Drop Earrings for Women and Girls (Design 6),90, AED 43.18 ,No discount, AED 9.42 
https://www.amazon.ae/DESIMTION-Multilayer-Christmas-Wristbands-Bracelets/dp/B07HHVPPRJ/ref=sr_1_79?qid=1686556435&s=fashion&sr=1-79,"Inspirational Tree of Life Leather Bracelets for Women,Mothers Day Birthday Jewelry Gifts for Teens Girls",91, AED 43.18 ,-6%, AED 31.65 
https://www.amazon.ae/Shining-Diva-Fashion-Bracelet-9576b/dp/B078KWDF1N/ref=sr_1_80?qid=1686556435&s=fashion&sr=1-80,Shining Diva Fashion Royal Blue Crystal CZ Silver Plated Stylish Bracelet Gift for Girls Women(9576b),92, AED 43.18 ,No discount, AED 21.70 
https://www.amazon.ae/Piercing-Stainless-Steel-Machines-Earrings/dp/B09XK4ZPL7/ref=sr_1_81?qid=1686556435&s=fashion&sr=1-81,"Ear Piercing Kit, Stainless Steel Body Ear Piercing Tool Set Ear Nose Navel Piercing Machines with 55 Pairs Stainless Steel Stud Earrings for Salon Home Use",93, AED 43.18 ,-28%, AED 43.13 
https://www.amazon.ae/Joyalukkas-GOLD-COIN-2022B4G-4GM/dp/B07TWMJ39Q/ref=sr_1_82?qid=1686556435&s=fashion&sr=1-82,GOLD COIN 4GM,94, AED 43.18 ,No discount," AED 1,132.00 "
https://www.amazon.ae/Yellow-Platinum-Classic-Crystal-Adjustable/dp/B07DW8GY9N/ref=sr_1_83?qid=1686556435&s=fashion&sr=1-83,Yellow Chimes A5 Grade Platinum Plated Classic Crystal Adjustable Ring for Women and Girls (White),95, AED 43.19 ,No discount, AED 16.00 
https://www.amazon.ae/Swarovski-Elements-Sterling-Crystal-Earrings/dp/B07MCLMT1V/ref=sr_1_84?qid=1686556435&s=fashion&sr=1-84,Swarovski Elements Crystal Gold Plated 925 Sterling Silver Studs Earrings for Women Gift Packing J.Rosée Fashion Jewelry,96, AED 43.19 ,No discount, AED 76.84 
https://www.amazon.ae/Apsvo-Earrings-Lightweight-Waterdrop-Hypoallergenic/dp/B0BWXTBK53/ref=sr_1_85?qid=1686556435&s=fashion&sr=1-85,"Apsvo Chunky Gold Hoop Earrings for Women, Lightweight Waterdrop Hollow Open Hoops, Hypoallergenic Gold Plated Earrings Fashion Jewelry for Women Girls",97, AED 43.19 ,-33%, AED 46.99 
https://www.amazon.ae/Yellow-Handmade-Stylish-Necklace-YCFJNK-153SHELL-WH/dp/B07X7PKYW5/ref=sr_1_86?qid=1686556435&s=fashion&sr=1-86,"Yellow Chimes Women's Cowrie Sea Shell and Base Metal Handmade Beach Stylish Choker Necklace (White, YCFJNK-153SHELL-WH)",98, AED 43.19 ,-25%, AED 15.44 
https://www.amazon.ae/Necklace-Constellation-Necklaces-Jewelry-Horoscope/dp/B09CTKNR21/ref=sr_1_87?qid=1686556435&s=fashion&sr=1-87,12 Zodiac Signs Necklace for Women Girls Constellation Pendant Necklace Horoscope Necklaces for Women 12 Zodiac Sign Necklaces Jewelry Astrology Necklaces,99, AED 43.19 ,No discount, AED 21.00 
https://www.amazon.ae/White-Plated-Zirconia-Tennis-Bracelet/dp/B07WV1Q68D/ref=sr_1_88?qid=1686556435&s=fashion&sr=1-88,14k White Gold Plated Round Cut 5 Cubic Zirconia Tennis Bracelet 7.5 inch for Men and Women,100, AED 43.19 ,No discount, AED 60.00 
https://www.amazon.ae/Zaveri-Pearls-Contemporary-Earrings-Zpfk9516/dp/B08F4ZQ57T/ref=sr_1_89?qid=1686556435&s=fashion&sr=1-89,Zaveri Pearls Contemporary Stud Earrings For Women (Golden) (Zpfk9516),101, AED 43.19 ,-30%, AED 14.39 
https://www.amazon.ae/KASTWAVE-Sterling-Zirconia-Sparkling-Earrings/dp/B09DPKLNK4/ref=sr_1_90?qid=1686556435&s=fashion&sr=1-90,KASTWAVE Ear Pods Clip 925 Sterling Silver Cubic Zirconia Sparkling Round Huggie Ear Cuff Earrings for Women Non Pierced Ear Pods Clip on Earrings,104, AED 43.19 ,-10%, AED 35.91 
https://www.amazon.ae/Goodern-Bracelets-Stainless-Adjustable-Bracelets-Black/dp/B0BBQ2DQ1Y/ref=sr_1_91?qid=1686556435&s=fashion&sr=1-91,Goodern Luxury Bracelet Crown Beaded Bracelets Fashion Stainless Steel Cuff Bangle Micro Pave Zircon Bracelets Wristband Jewelry for Men Women Couple Jewelry Gift Adjustable Bracelets-Black,105, AED 43.19 ,-6%, AED 65.55 
https://www.amazon.ae/Estele-Plated-Flower-Shaped-Earrings/dp/B08CQ6B1QH/ref=sr_1_92?qid=1686556435&s=fashion&sr=1-92,Estele 24Kt Gold Tone Plated Flower Shaped White Enamel Earrings,106, AED 43.19 ,No discount, AED 14.00 
